bairro,lat,lon,osm_type,osm_id,location_id,weather_time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,weather_code,dew_point_2m_max,dew_point_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_probability_mean,precipitation_probability_min
Interlagos,-23.7011674,-46.7082912,node,205197916,0,,,,,,,,,,,,,,,
Tatuapé,-23.5408911,-46.5750093,node,243072564,1,,,,,,,,,,,,,,,
Marsilac,-23.9083907,-46.7061053,node,368179749,2,,,,,,,,,,,,,,,
Parelheiros,-23.827312,-46.7277941,node,368179752,3,,,,,,,,,,,,,,,
São Mateus,-23.5982995,-46.4817046,node,368179763,4,,,,,,,,,,,,,,,
Sapopemba,-23.6043265,-46.5098851,node,368179775,5,,,,,,,,,,,,,,,
Santa Margarida Paulista,-23.518102,-46.39891,node,368179785,6,,,,,,,,,,,,,,,
Vila Leopoldina,-23.5275027,-46.732947,node,408988505,7,,,,,,,,,,,,,,,
Casa Verde,-23.5059269,-46.6561379,node,494743298,8,,,,,,,,,,,,,,,
Limão,-23.5033149,-46.6752722,node,494743302,9,,,,,,,,,,,,,,,
Cerqueira César,-23.5610386,-46.6657633,node,804525256,10,,,,,,,,,,,,,,,
Perdizes,-23.5399887,-46.6709816,node,904629798,11,,,,,,,,,,,,,,,
Sumaré,-23.5453787,-46.6811739,node,904629799,12,,,,,,,,,,,,,,,
Pacaembu,-23.5483884,-46.6678702,node,904629800,13,,,,,,,,,,,,,,,
Alto de Pinheiros,-23.5499064,-46.7076422,node,905083503,14,,,,,,,,,,,,,,,
Vila Madalena,-23.5555025,-46.6911869,node,905083508,15,,,,,,,,,,,,,,,
Vila Beatriz,-23.5499684,-46.6977786,node,914050460,16,,,,,,,,,,,,,,,
Pompéia,-23.5305556,-46.6849797,node,914050462,17,,,,,,,,,,,,,,,
Higienópolis,-23.5442937,-46.6544499,node,917171894,18,,,,,,,,,,,,,,,
São Domingos,-23.4938759,-46.7421942,node,918540458,19,,,,,,,,,,,,,,,
Morro Doce,-23.4459858,-46.7958736,node,918543701,20,,,,,,,,,,,,,,,
Jardim Santa Fé,-23.4268997,-46.7947114,node,918543711,21,,,,,,,,,,,,,,,
Lapa,-23.5215756,-46.7043491,node,923588346,22,,,,,,,,,,,,,,,
Jardim Vila Mariana,-23.5923787,-46.6261595,node,929554325,23,,,,,,,,,,,,,,,
Aricanduva,-23.5780239,-46.511454,node,934863888,24,,,,,,,,,,,,,,,
Jardim Europa,-23.5737047,-46.6823072,node,1000297662,25,,,,,,,,,,,,,,,
Paraíso,-23.5738424,-46.6482539,node,1000297670,26,,,,,,,,,,,,,,,
Jardim Melo,-23.6865424,-46.635203,node,1258059362,27,,,,,,,,,,,,,,,
Jardim Apurá,-23.7123738,-46.6584285,node,1388193189,28,,,,,,,,,,,,,,,
Ermelino Matarazzo,-23.4902552,-46.4824048,node,1610605045,29,,,,,,,,,,,,,,,
Ponte Rasa,-23.5110455,-46.4870517,node,1610612161,30,,,,,,,,,,,,,,,
Jardim Pedro José Nunes,-23.5015079,-46.465787,node,1682423498,31,,,,,,,,,,,,,,,
Jardim Arpoador,-23.5949812,-46.7910827,node,1685306044,32,,,,,,,,,,,,,,,
Jardim João XXIII,-23.6028459,-46.7927124,node,1685306048,33,,,,,,,,,,,,,,,
Jardim Boa Vista,-23.5815403,-46.7913503,node,1685306049,34,,,,,,,,,,,,,,,
Parque Ipê,-23.5957714,-46.7971705,node,1685307256,35,,,,,,,,,,,,,,,
Parque dos Príncipes,-23.5756693,-46.7709742,node,1697551967,36,,,,,,,,,,,,,,,
Jardim D'Abril,-23.5738706,-46.7795188,node,1697551983,37,,,,,,,,,,,,,,,
Vila Ipojuca,-23.5335192,-46.7084654,node,1707558490,38,,,,,,,,,,,,,,,
Vila Anglo-Brasileira,-23.5400826,-46.69492,node,1707884909,39,,,,,,,,,,,,,,,
Bairro Siciliano,-23.5343382,-46.6983219,node,1707931122,40,,,,,,,,,,,,,,,
Bela Aliança,-23.5248526,-46.7225147,node,1707931125,41,,,,,,,,,,,,,,,
Boaçava,-23.540313,-46.7226097,node,1707931127,42,,,,,,,,,,,,,,,
Sumarezinho,-23.5471111,-46.6921511,node,1707931135,43,,,,,,,,,,,,,,,
Vila Argentina,-23.5375059,-46.7048754,node,1707931140,44,,,,,,,,,,,,,,,
Vila Hamburguesa,-23.5334607,-46.7262582,node,1707931149,45,,,,,,,,,,,,,,,
Vila Ida,-23.5431007,-46.7074196,node,1707931152,46,,,,,,,,,,,,,,,
Vila Anastácio,-23.5155169,-46.7182463,node,1707967225,47,,,,,,,,,,,,,,,
Parque Monteiro Soares,-23.4904769,-46.6877119,node,1822482786,48,,,,,,,,,,,,,,,
Jaguara,-23.513823,-46.7472338,node,1895614008,49,,,,,,,,,,,,,,,
Vila Amélia,-23.471303,-46.6528931,node,1910726219,50,,,,,,,,,,,,,,,
Cidade Tiradentes,-23.5801711,-46.3970559,node,1936083395,51,,,,,,,,,,,,,,,
Bixiga,-23.5577085,-46.6468132,node,2021982600,52,,,,,,,,,,,,,,,
Parque Mandaqui,-23.4664042,-46.6334207,node,2076975854,53,,,,,,,,,,,,,,,
Jardim Iporã,-23.7839695,-46.7117903,node,2097475317,54,,,,,,,,,,,,,,,
Santana,-23.5021182,-46.6270233,node,2261345634,55,,,,,,,,,,,,,,,
Tremembé,-23.4482881,-46.6029761,node,2261345635,56,,,,,,,,,,,,,,,
